Estimate,Value
[102.24783153],103.14
[103.61216923],102.7
[101.9817521],101.51
[101.7256858],97.57
[96.37907525],96.94
[97.1687748],94.31
[93.16096623],93.94
[94.0748063],93.92
[93.26135901],92.97
[92.88886763],96.21
[96.32146791],97.23
[97.38293421],97.85
[97.8104766],99.15
[99.5717947],96.47
[95.86505372],92.42
[92.09555252],92.98
[92.8015381],96.19
[96.66067539],97.29
[97.17254298],97.78
[98.11702936],100.21
[100.49185545],102.93
[103.59118639],102.77
[102.74721076],103.07
[103.52650817],99.55
[98.95085883],99.77
[100.13177674],100.66
[100.58566498],100.46
[100.52635971],102.72
[103.08941818],103.95
[104.14718054],102.11
[101.93938617],100.51
[100.40072117],100.29
[100.24379482],101.92
[102.14138734],103.82
[104.08166432],103.95
[104.01156233],103.23
[103.23961165],105.97
[106.49532513],107.23
[107.4264401],106.69
[106.77306168],105.52
[105.50246175],103.25
[102.92822526],102.37
[102.31400321],104.35
[104.5500465],102.19
[101.75985292],97.5
[96.76921129],97.17
[97.10009881],94.95
[94.19688563],96.25
[96.42289027],94.06
[93.31842742],92.43
[92.15229791],93.52
[93.45897995],93.15
[92.82076849],91.44
[91.12380404],87.63
[86.79820262],82.88
[81.99726746],82.12
[81.6518862],81.29
[80.73535902],78.24
[77.34578164],76.5
[75.98004223],75.38
[74.70349225],72.36
[71.54297774],67.18
[65.87490095],61.14
[59.69813943],55.89
[54.26387822],55.58
[54.8352499],53.44
[52.10467605],48.77
[47.35360026],47.07
[46.05645898],46.46
[45.56221171],45.32
[44.44551894],50.58
[51.05138804],51.14
[50.65996768],51.69
[51.83248542],49.16
[48.53680903],50.38
[50.57577255],47.69
[47.01870141],44.39
[43.71715288],48.68
[49.33741393],48.91
[48.40875082],51.78
[52.57778408],54.78
[55.03424711],56.14
[56.70808134],57.98
[58.43854166],59.73
[60.35636854],60.01
[60.27599387],58.95
[59.12101358],58.19
[58.23794081],59.66
[60.09056598],60.07
[60.15398667],59.89
[60.06805024],60.01
[60.1085427],57.92
[57.64517903],52.38
[51.44852541],51.68
[51.54377665],49.21
[48.34651237],47.91
[47.52190283],44.94
[44.03170196],43.2
[42.59538775],41.34
[40.62048184],40.73
[40.19563257],46.73
[47.52767399],45.16
[44.41032556],45.48
[45.86151286],45.57
[45.29925054],45.0
[44.9976168],48.36
[48.89191166],46.82
[46.4666697],45.16
[45.12011356],44.99
[44.87387331],45.98
[46.1106319],42.7
[42.0528586],40.62
[40.30727449],40.49
[40.25209881],40.4
[40.14332192],36.93
[36.19981045],35.78
[35.41530136],36.26
[36.06608763],36.99
[36.80913688],34.65
[34.14610086],30.59
[29.69252165],29.19
[28.81431995],31.81
[31.78389742],31.26
[30.92986524],28.14
[27.42138945],30.02
[30.32241223],31.32
[31.10114257],34.43
[35.09154292],37.69
[38.10954769],38.32
[38.69680973],39.45
[39.85945215],36.82
[36.57374681],36.72
[36.93205857],41.23
[42.05207733],41.86
[41.93355001],44.3
[45.16399224],44.22
[44.2526598],45.44
[46.089939],47.99
[48.54239723],48.72
[49.1244335],49.0
[49.36728365],50.18
[50.63005537],47.89
[47.6863604],48.71
[49.12014897],48.17
[48.05865604],46.17
[45.94423622],45.6
[45.56542602],44.44
[44.07922146],41.83
[41.38540838],40.82
[40.44910937],43.11
[43.36412594],47.16
[47.60501576],47.05
[47.08174418],45.11
[44.9069518],45.96
[46.26348516],44.34
[43.90045415],44.59
[44.8250517],46.55
[46.70335713],49.48
[50.07807171],50.29
[50.45488131],50.56
[50.88464826],49.36
[49.26510195],45.51
[44.98814586],44.61
[44.51528945],45.15
[45.04162586],47.25
[47.53530201],48.63
[48.78840964],50.97
[51.46961191],51.91
[52.1542199],51.95
[52.14866277],53.6
[54.09760127],53.34
[53.35450763],52.07
[52.10985763],51.82
[51.83720555],52.74
[52.97007507],53.33
[53.42115243],52.88
[52.90456854],53.22
[53.33954463],54.03
[54.21586717],53.56
[53.49920116],50.5
[50.04761659],48.03
[47.60536876],47.28
[47.01168975],49.14
[49.2582734],51.26
[51.47736279],53.19
[53.49297875],51.09
[50.77628226],49.12
[48.90712345],47.21
[46.83654509],47.04
[46.88928762],49.24
[49.52805358],50.21
[50.18292025],48.48
[48.27789344],46.57
[46.20462131],45.3
[45.07043095],43.09
[42.47712347],44.63
[44.87746298],44.96
[44.65979105],45.51
[45.66360817],46.41
[46.42996965],48.27
[48.64268214],49.52
[49.73028532],49.08
[49.12445885],47.52
[47.36599077],47.68
[47.78747323],46.68
[46.44984285],48.58
[48.97660632],49.07
[49.06053438],50.12
[50.41241347],51.77
[52.13580348],50.23
[49.98265335],50.77
[51.13894479],51.74
[51.81093963],52.51
[52.81169407],54.59
[55.00094299],57.05
[57.6391399],55.81
[55.70614851],57.47
[58.1233997],57.81
[57.86534854],56.92
[57.02455986],57.17
[57.34407428],57.87
[58.04696233],59.88
[60.35661603],61.36
[61.67531317],63.26
[63.82820658],63.77
[64.00259199],65.14
[65.68141218],65.32
[65.4953899],62.01
[61.64566646],60.56
[60.50440411],62.47
[62.74742092],62.07
[61.90713663],61.65
[61.67770029],61.28
[61.18608688],64.11
[64.63855014],64.97
[65.05483911],63.07
[62.86911941],66.02
[66.73936784],67.55
[67.6784523],67.91
[68.25645916],68.38
[68.57083885],70.56
[71.14586379],71.3
[71.51747859],70.98
[71.17613483],66.96
[66.37827848],65.35
[65.24115845],66.21
[66.23280213],66.32
[66.19253923],74.03
[75.50410797],73.73
[73.41055005],71.96
[72.2390461],68.95
[68.46431492],70.01
[70.35384969],69.46
[69.23572948],67.9
[67.64509865],66.15
[65.88069086],68.1
[68.28642711],69.66
[69.87070209],68.51
[68.18610992],68.96
[69.27106893],70.28
[70.30310435],72.84
[73.48487662],75.13
[75.44268721],72.96
[72.8559509],70.24
[69.89199475],67.43
[67.06838208],65.06
[64.46122254],61.57
[60.87602452],56.92
[55.72503912],54.99
[54.45655166],51.01
[49.61487572],52.63
[52.7278966],51.54
[50.58994159],46.98
[46.01810611],45.22
[44.5169227],47.0
[46.89315137],50.78
[51.05413595],51.92
[51.91245929],52.88
[53.08639359],53.63
[53.7826474],53.53
[53.55319283],53.88
[54.05724765],56.74
[57.29575288],56.12
[56.0394632],56.35
